location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Wind Gust
unit,km/h
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Wind Gust
20220118T0200,9.0
20220118T0300,10.08
20220118T0400,11.159999
20220118T0500,12.959999
20220118T0600,14.759999
20220118T0700,15.84
20220118T0800,16.56
20220118T0900,16.199999
20220118T1000,18.359999
20220118T1100,21.24
20220118T1200,24.48
20220118T1300,30.599998
20220118T1400,32.039997
20220118T1500,32.399998
20220118T1600,31.319998
20220118T1700,25.199999
20220118T1800,18.0
20220118T1900,15.119999
20220118T2000,14.759999
20220118T2100,18.359999
20220118T2200,15.119999
20220118T2300,13.679999
20220119T0000,11.5199995
20220119T0100,11.159999
20220119T0200,11.879999
20220119T0300,11.5199995
20220119T0400,12.959999
20220119T0500,14.759999
20220119T0600,16.199999
20220119T0700,16.56
20220119T0800,17.28
20220119T0900,16.919998
20220119T1000,16.199999
20220119T1100,19.08
20220119T1200,20.16
20220119T1300,25.56
20220119T1400,31.68
20220119T1500,34.2
20220119T1600,32.399998
20220119T1700,30.960001
20220119T1800,28.8
20220119T1900,28.08
20220119T2000,29.519999
20220119T2100,26.64
20220119T2200,24.84
20220119T2300,23.039999
20220120T0000,21.96
20220120T0100,22.319998
20220120T0200,23.039999
20220120T0300,23.759998
20220120T0400,24.84
20220120T0500,24.48
20220120T0600,23.4
20220120T0700,20.16
20220120T0800,19.08
20220120T0900,20.16
20220120T1000,19.08
20220120T1100,18.359999
20220120T1200,17.64
20220120T1300,19.08
20220120T1400,19.44
20220120T1500,21.599998
20220120T1600,23.039999
20220120T1700,21.96
20220120T1800,19.08
20220120T1900,15.4800005
20220120T2000,12.959999
20220120T2100,17.64
20220120T2200,16.919998
20220120T2300,15.119999
20220121T0000,13.32
20220121T0100,13.679999
20220121T0200,13.32
20220121T0300,11.5199995
20220121T0400,10.08
20220121T0500,11.5199995
20220121T0600,12.599999
20220121T0700,12.959999
20220121T0800,16.199999
20220121T0900,15.119999
20220121T1000,16.56
20220121T1100,18.359999
20220121T1200,21.24
20220121T1300,23.759998
20220121T1400,24.48
20220121T1500,22.68
20220121T1600,19.08
20220121T1700,16.56
20220121T1800,13.32
20220121T1900,10.799999
20220121T2000,9.36
20220121T2100,6.12
20220121T2200,6.4799995
20220121T2300,6.12
20220122T0000,6.12
20220122T0100,6.12
20220122T0200,6.12
20220122T0300,7.2
20220122T0400,8.64
20220122T0500,9.36
20220122T0600,9.72
20220122T0700,9.36
20220122T0800,9.36
20220122T0900,8.28
20220122T1000,9.0
20220122T1100,9.0
20220122T1200,11.159999
20220122T1300,11.159999
20220122T1400,12.24
20220122T1500,11.879999
20220122T1600,11.159999
20220122T1700,10.799999
20220122T1800,8.28
20220122T1900,7.92
20220122T2000,10.799999
20220122T2100,9.72
20220122T2200,8.64
20220122T2300,7.92
20220123T0000,8.64
20220123T0100,9.0
20220123T0200,9.0
20220123T0300,9.72
20220123T0400,10.08
20220123T0500,10.799999
20220123T0600,12.24
20220123T0700,12.24
20220123T0800,11.879999
20220123T0900,11.879999
20220123T1000,10.08
20220123T1100,12.599999
20220123T1200,14.04
20220123T1300,15.4800005
20220123T1400,17.28
20220123T1500,20.519999
20220123T1600,20.880001
20220123T1700,19.8
20220123T1800,15.4800005
20220123T1900,14.759999
20220123T2000,14.759999
20220123T2100,18.0
20220123T2200,13.679999
20220123T2300,12.959999
20220124T0000,13.32
20220124T0100,12.959999
20220124T0200,12.599999
20220124T0300,12.24
20220124T0400,11.879999
20220124T0500,11.5199995
20220124T0600,11.159999
20220124T0700,11.5199995
20220124T0800,11.159999
20220124T0900,12.24
20220124T1000,12.599999
20220124T1100,14.4
20220124T1200,15.84
20220124T1300,16.199999
20220124T1400,15.119999
20220124T1500,13.32
20220124T1600,11.5199995
20220124T1700,10.440001
20220124T1800,7.5599995
20220124T1900,7.92
20220124T2000,9.36
20220124T2100,12.599999
20220124T2200,11.5199995
20220124T2300,11.159999
20220125T0000,10.799999
20220125T0100,10.440001
20220125T0200,10.440001
20220125T0300,10.440001
20220125T0400,10.440001
20220125T0500,10.08
20220125T0600,10.08
20220125T0700,10.08
20220125T0800,10.440001
20220125T0900,14.759999
20220125T1000,12.599999
20220125T1100,14.04
20220125T1200,14.04
20220125T1300,13.679999
20220125T1400,14.04
20220125T1500,14.04
20220125T1600,12.599999
20220125T1700,8.64
20220125T1800,7.92
20220125T1900,8.64
20220125T2000,9.0
20220125T2100,11.5199995
20220125T2200,11.5199995
20220125T2300,11.5199995
20220126T0000,11.5199995
20220126T0100,12.24
20220126T0200,12.24
20220126T0300,11.879999
20220126T0400,11.5199995
20220126T0500,11.5199995
20220126T0600,11.5199995
20220126T0700,11.159999
20220126T0800,11.159999
20220126T0900,14.4
20220126T1000,12.24
20220126T1100,13.32
20220126T1200,13.32
20220126T1300,15.119999
20220126T1400,16.199999
20220126T1500,16.199999
20220126T1600,15.119999
20220126T1700,12.959999
20220126T1800,8.64
20220126T1900,9.0
20220126T2000,7.92
20220126T2100,8.28
20220126T2200,9.36
20220126T2300,9.72
20220127T0000,9.0
20220127T0100,9.36
20220127T0200,9.36
20220127T0300,10.799999
